"Nest ID_marking","Adult1","Adult2","Adult3","Chick1","Chick2","Chick3","Status","Est_LayDate","Est_HatchDate","HatchDate","Est_TranspondDate5","Est_TranspondDate6","Est_FledgeDate","Eggs","Chicks","diffchicks","Notes","__id"
"F22",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"F35",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"G24",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"G30",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"G33",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"G35",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"D7",NA,NA,NA,"956000015696026",NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-15","2022-12-20","2022-12-27","2023-01-10","1","1",NA,NA,NA
"F10",NA,NA,NA,"956000015717691","956000015723148",NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"H23",NA,NA,NA,"956000015724476",NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"D16",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"D20",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"D3",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
